"Sample","GSM_ID","Exposure","Age_PCW","DevStage","Outlier","Condition","Age_Group","Donor"
"testis_10-12GW_Ctrl_DMSO_EH3840","GSM6997438","DMSO","8+4","8-10PCW","no","Control","10-12GW","EH3840"
"testis_10-12GW_Ctrl_DMSO_EH4138","GSM6997439","DMSO","8+6","8-10PCW","no","Control","10-12GW","EH4138"
"testis_10-12GW_Ctrl_DMSO_EH4112","GSM6997440","DMSO","9+0","8-10PCW","no","Control","10-12GW","EH4112"
"testis_10-12GW_Ctrl_DMSO_EH4111","GSM6997441","DMSO","9+1","8-10PCW","no","Control","10-12GW","EH4111"
"testis_10-12GW_Ctrl_DMSO_EH4142","GSM6997442","DMSO","9+2","8-10PCW","no","Control","10-12GW","EH4142"
"testis_10-12GW_Ctrl_DMSO_EH4155","GSM6997443","DMSO","9+2","8-10PCW","no","Control","10-12GW","EH4155"
"testis_10-12GW_Ctrl_DMSO_EH4174","GSM6997444","DMSO","9+2","8-10PCW","no","Control","10-12GW","EH4174"
"testis_10-12GW_Ctrl_DMSO_EH4026","GSM6997445","DMSO","9+3","8-10PCW","no","Control","10-12GW","EH4026"
"testis_10-12GW_Ctrl_DMSO_EH4072","GSM6997446","DMSO","9+6","8-10PCW","no","Control","10-12GW","EH4072"
"testis_10-12GW_Ctrl_DMSO_EH4105","GSM6997447","DMSO","9+6","8-10PCW","no","Control","10-12GW","EH4105"
"testis_12-14GW_Ctrl_DMSO_EH4114","GSM6997448","DMSO","10+1","10-12PCW","no","Control","12-14GW","EH4114"
"testis_12-14GW_Ctrl_DMSO_EH3265","GSM6997449","DMSO","11+0","10-12PCW","no","Control","12-14GW","EH3265"
"testis_12-14GW_Ctrl_DMSO_EH4109","GSM6997450","DMSO","11+2","10-12PCW","no","Control","12-14GW","EH4109"
"testis_12-14GW_Ctrl_DMSO_EH4168","GSM6997451","DMSO","11+2","10-12PCW","no","Control","12-14GW","EH4168"
"testis_12-14GW_Ctrl_DMSO_EH3351","GSM6997452","DMSO","11+3","10-12PCW","no","Control","12-14GW","EH3351"
"testis_12-14GW_Ctrl_DMSO_EH3366","GSM6997453","DMSO","11+3","10-12PCW","no","Control","12-14GW","EH3366"
"testis_12-14GW_Ctrl_DMSO_EH4075","GSM6997454","DMSO","11+4","10-12PCW","no","Control","12-14GW","EH4075"
"testis_12-14GW_Ctrl_DMSO_EH4115","GSM6997455","DMSO","11+5","10-12PCW","no","Control","12-14GW","EH4115"
"testis_12-14GW_Ctrl_DMSO_EH3412","GSM6997456","DMSO","12+1","10-12PCW","no","Control","12-14GW","EH3412"
"testis_12-14GW_Ctrl_DMSO_EH3345","GSM6997457","DMSO","12+2","10-12PCW","no","Control","12-14GW","EH3345"
"testis_10-12GW_Ctrl_DMSO-EtOH_EH4147","GSM6997458","DMSO-EtOH","8+1","8-10PCW","no","DMSO-EtOH","10-12GW","EH4147"
"testis_10-12GW_Ctrl_DMSO-EtOH_EH3417","GSM6997459","DMSO-EtOH","8+6","8-10PCW","no","DMSO-EtOH","10-12GW","EH3417"
"testis_10-12GW_Ctrl_DMSO-EtOH_EH4138","GSM6997460","DMSO-EtOH","8+6","8-10PCW","no","DMSO-EtOH","10-12GW","EH4138"
"testis_10-12GW_Ctrl_DMSO-EtOH_EH4112","GSM6997461","DMSO-EtOH","9+0","8-10PCW","no","DMSO-EtOH","10-12GW","EH4112"
"testis_10-12GW_Ctrl_DMSO-EtOH_EH4111","GSM6997462","DMSO-EtOH","9+1","8-10PCW","no","DMSO-EtOH","10-12GW","EH4111"
"testis_10-12GW_Ctrl_DMSO-EtOH_EH4142","GSM6997463","DMSO-EtOH","9+2","8-10PCW","no","DMSO-EtOH","10-12GW","EH4142"
"testis_10-12GW_Ctrl_DMSO-EtOH_EH4155","GSM6997464","DMSO-EtOH","9+2","8-10PCW","no","DMSO-EtOH","10-12GW","EH4155"
"testis_10-12GW_Ctrl_DMSO-EtOH_EH4072","GSM6997465","DMSO-EtOH","9+6","8-10PCW","no","DMSO-EtOH","10-12GW","EH4072"
"testis_10-12GW_Ctrl_DMSO-EtOH_EH4080","GSM6997466","DMSO-EtOH","9+6","8-10PCW","no","DMSO-EtOH","10-12GW","EH4080"
"testis_10-12GW_Ctrl_DMSO-EtOH_EH4105","GSM6997467","DMSO-EtOH","9+6","8-10PCW","no","DMSO-EtOH","10-12GW","EH4105"
"testis_12-14GW_Ctrl_DMSO-EtOH_EH4114","GSM6997468","DMSO-EtOH","10+1","10-12PCW","no","DMSO-EtOH","12-14GW","EH4114"
"testis_12-14GW_Ctrl_DMSO-EtOH_EH3265","GSM6997469","DMSO-EtOH","11+0","10-12PCW","no","DMSO-EtOH","12-14GW","EH3265"
"testis_12-14GW_Ctrl_DMSO-EtOH_EH4109","GSM6997470","DMSO-EtOH","11+2","10-12PCW","no","DMSO-EtOH","12-14GW","EH4109"
"testis_12-14GW_Ctrl_DMSO-EtOH_EH4168","GSM6997471","DMSO-EtOH","11+2","10-12PCW","no","DMSO-EtOH","12-14GW","EH4168"
"testis_12-14GW_Ctrl_DMSO-EtOH_EH3351","GSM6997472","DMSO-EtOH","11+3","10-12PCW","no","DMSO-EtOH","12-14GW","EH3351"
"testis_12-14GW_Ctrl_DMSO-EtOH_EH4075","GSM6997473","DMSO-EtOH","11+4","10-12PCW","no","DMSO-EtOH","12-14GW","EH4075"
"testis_12-14GW_Ctrl_DMSO-EtOH_EH3234","GSM6997474","DMSO-EtOH","11+5","10-12PCW","no","DMSO-EtOH","12-14GW","EH3234"
"testis_12-14GW_Ctrl_DMSO-EtOH_EH4115","GSM6997475","DMSO-EtOH","11+5","10-12PCW","no","DMSO-EtOH","12-14GW","EH4115"
"testis_12-14GW_Ctrl_DMSO-EtOH_EH3412","GSM6997476","DMSO-EtOH","12+1","10-12PCW","no","DMSO-EtOH","12-14GW","EH3412"
"testis_12-14GW_Ctrl_DMSO-EtOH_EH3345","GSM6997477","DMSO-EtOH","12+2","10-12PCW","no","DMSO-EtOH","12-14GW","EH3345"
"testis_10-12GW_Ctrl_EtOH_EH4147","GSM6997478","EtOH","8+1","8-10PCW","no","EtOH","10-12GW","EH4147"
"testis_10-12GW_Ctrl_EtOH_EH4138","GSM6997479","EtOH","8+6","8-10PCW","no","EtOH","10-12GW","EH4138"
"testis_10-12GW_Ctrl_EtOH_EH4111","GSM6997480","EtOH","9+1","8-10PCW","no","EtOH","10-12GW","EH4111"
"testis_10-12GW_Ctrl_EtOH_EH4142","GSM6997481","EtOH","9+2","8-10PCW","no","EtOH","10-12GW","EH4142"
"testis_10-12GW_Ctrl_EtOH_EH4155","GSM6997482","EtOH","9+2","8-10PCW","no","EtOH","10-12GW","EH4155"
"testis_10-12GW_Ctrl_EtOH_EH4174","GSM6997483","EtOH","9+2","8-10PCW","no","EtOH","10-12GW","EH4174"
"testis_10-12GW_Ctrl_EtOH_EH3413","GSM6997484","EtOH","9+4","8-10PCW","no","EtOH","10-12GW","EH3413"
"testis_10-12GW_Ctrl_EtOH_EH4072","GSM6997485","EtOH","9+6","8-10PCW","no","EtOH","10-12GW","EH4072"
"testis_10-12GW_Ctrl_EtOH_EH4080","GSM6997486","EtOH","9+6","8-10PCW","no","EtOH","10-12GW","EH4080"
"testis_10-12GW_Ctrl_EtOH_EH4105","GSM6997487","EtOH","9+6","8-10PCW","no","EtOH","10-12GW","EH4105"
"testis_12-14GW_Ctrl_EtOH_EH4114","GSM6997488","EtOH","10+1","10-12PCW","no","EtOH","12-14GW","EH4114"
"testis_12-14GW_Ctrl_EtOH_EH3265","GSM6997489","EtOH","11+0","10-12PCW","no","EtOH","12-14GW","EH3265"
"testis_12-14GW_Ctrl_EtOH_EH4109","GSM6997490","EtOH","11+2","10-12PCW","no","EtOH","12-14GW","EH4109"
"testis_12-14GW_Ctrl_EtOH_EH4168","GSM6997491","EtOH","11+2","10-12PCW","no","EtOH","12-14GW","EH4168"
"testis_12-14GW_Ctrl_EtOH_EH3351","GSM6997492","EtOH","11+3","10-12PCW","no","EtOH","12-14GW","EH3351"
"testis_12-14GW_Ctrl_EtOH_EH3366","GSM6997493","EtOH","11+3","10-12PCW","no","EtOH","12-14GW","EH3366"
"testis_12-14GW_Ctrl_EtOH_EH4075","GSM6997494","EtOH","11+4","10-12PCW","no","EtOH","12-14GW","EH4075"
"testis_12-14GW_Ctrl_EtOH_EH4115","GSM6997495","EtOH","11+5","10-12PCW","no","EtOH","12-14GW","EH4115"
"testis_12-14GW_Ctrl_EtOH_EH3412","GSM6997496","EtOH","12+1","10-12PCW","no","EtOH","12-14GW","EH3412"
"testis_12-14GW_Ctrl_EtOH_EH3345","GSM6997497","EtOH","12+2","10-12PCW","no","EtOH","12-14GW","EH3345"
"testis_10-12GW_CBD_EH3840","GSM6997498","CBD","8+4","8-10PCW","no","CBD","10-12GW","EH3840"
"testis_10-12GW_CBD_EH4138","GSM6997499","CBD","8+6","8-10PCW","no","CBD","10-12GW","EH4138"
"testis_10-12GW_CBD_EH4112","GSM6997500","CBD","9+0","8-10PCW","no","CBD","10-12GW","EH4112"
"testis_10-12GW_CBD_EH4111","GSM6997501","CBD","9+1","8-10PCW","no","CBD","10-12GW","EH4111"
"testis_10-12GW_CBD_EH4142","GSM6997502","CBD","9+2","8-10PCW","no","CBD","10-12GW","EH4142"
"testis_10-12GW_CBD_EH4155","GSM6997503","CBD","9+2","8-10PCW","no","CBD","10-12GW","EH4155"
"testis_10-12GW_CBD_EH4174","GSM6997504","CBD","9+2","8-10PCW","no","CBD","10-12GW","EH4174"
"testis_10-12GW_CBD_EH4026","GSM6997505","CBD","9+3","8-10PCW","no","CBD","10-12GW","EH4026"
"testis_10-12GW_CBD_EH4072","GSM6997506","CBD","9+6","8-10PCW","no","CBD","10-12GW","EH4072"
"testis_10-12GW_CBD_EH4105","GSM6997507","CBD","9+6","8-10PCW","no","CBD","10-12GW","EH4105"
"testis_12-14GW_CBD_EH3265","GSM6997509","CBD","11+0","10-12PCW","no","CBD","12-14GW","EH3265"
"testis_12-14GW_CBD_EH4109","GSM6997510","CBD","11+2","10-12PCW","no","CBD","12-14GW","EH4109"
"testis_12-14GW_CBD_EH3351","GSM6997512","CBD","11+3","10-12PCW","no","CBD","12-14GW","EH3351"
"testis_12-14GW_CBD_EH3366","GSM6997513","CBD","11+3","10-12PCW","no","CBD","12-14GW","EH3366"
"testis_12-14GW_CBD_EH4075","GSM6997514","CBD","11+4","10-12PCW","no","CBD","12-14GW","EH4075"
"testis_12-14GW_CBD_EH4115","GSM6997515","CBD","11+5","10-12PCW","no","CBD","12-14GW","EH4115"
"testis_12-14GW_CBD_EH3412","GSM6997516","CBD","12+1","10-12PCW","no","CBD","12-14GW","EH3412"
"testis_12-14GW_CBD_EH3345","GSM6997517","CBD","12+2","10-12PCW","no","CBD","12-14GW","EH3345"
"testis_10-12GW_THC_EH4147","GSM6997518","THC","8+1","8-10PCW","no","THC","10-12GW","EH4147"
"testis_10-12GW_THC_EH4138","GSM6997519","THC","8+6","8-10PCW","no","THC","10-12GW","EH4138"
"testis_10-12GW_THC_EH4111","GSM6997520","THC","9+1","8-10PCW","no","THC","10-12GW","EH4111"
"testis_10-12GW_THC_EH4142","GSM6997521","THC","9+2","8-10PCW","no","THC","10-12GW","EH4142"
"testis_10-12GW_THC_EH4155","GSM6997522","THC","9+2","8-10PCW","no","THC","10-12GW","EH4155"
"testis_10-12GW_THC_EH4174","GSM6997523","THC","9+2","8-10PCW","no","THC","10-12GW","EH4174"
"testis_10-12GW_THC_EH3413","GSM6997524","THC","9+4","8-10PCW","no","THC","10-12GW","EH3413"
"testis_10-12GW_THC_EH4072","GSM6997525","THC","9+6","8-10PCW","no","THC","10-12GW","EH4072"
"testis_10-12GW_THC_EH4080","GSM6997526","THC","9+6","8-10PCW","no","THC","10-12GW","EH4080"
"testis_10-12GW_THC_EH4105","GSM6997527","THC","9+6","8-10PCW","no","THC","10-12GW","EH4105"
"testis_12-14GW_THC_EH4114","GSM6997528","THC","10+1","10-12PCW","no","THC","12-14GW","EH4114"
"testis_12-14GW_THC_EH3265","GSM6997529","THC","11+0","10-12PCW","no","THC","12-14GW","EH3265"
"testis_12-14GW_THC_EH4109","GSM6997530","THC","11+2","10-12PCW","no","THC","12-14GW","EH4109"
"testis_12-14GW_THC_EH4168","GSM6997531","THC","11+2","10-12PCW","no","THC","12-14GW","EH4168"
"testis_12-14GW_THC_EH3351","GSM6997532","THC","11+3","10-12PCW","no","THC","12-14GW","EH3351"
"testis_12-14GW_THC_EH3366","GSM6997533","THC","11+3","10-12PCW","no","THC","12-14GW","EH3366"
"testis_12-14GW_THC_EH4075","GSM6997534","THC","11+4","10-12PCW","no","THC","12-14GW","EH4075"
"testis_12-14GW_THC_EH3412","GSM6997536","THC","12+1","10-12PCW","no","THC","12-14GW","EH3412"
"testis_12-14GW_THC_EH3345","GSM6997537","THC","12+2","10-12PCW","no","THC","12-14GW","EH3345"
"testis_10-12GW_CBD-THC_EH4147","GSM6997538","CBD-THC","8+1","8-10PCW","no","CBD-THC","10-12GW","EH4147"
"testis_10-12GW_CBD-THC_EH3417","GSM6997539","CBD-THC","8+6","8-10PCW","no","CBD-THC","10-12GW","EH3417"
"testis_10-12GW_CBD-THC_EH4112","GSM6997541","CBD-THC","9+0","8-10PCW","no","CBD-THC","10-12GW","EH4112"
"testis_10-12GW_CBD-THC_EH4111","GSM6997542","CBD-THC","9+1","8-10PCW","no","CBD-THC","10-12GW","EH4111"
"testis_10-12GW_CBD-THC_EH4142","GSM6997543","CBD-THC","9+2","8-10PCW","no","CBD-THC","10-12GW","EH4142"
"testis_10-12GW_CBD-THC_EH4155","GSM6997544","CBD-THC","9+2","8-10PCW","no","CBD-THC","10-12GW","EH4155"
"testis_10-12GW_CBD-THC_EH4072","GSM6997545","CBD-THC","9+6","8-10PCW","no","CBD-THC","10-12GW","EH4072"
"testis_10-12GW_CBD-THC_EH4080","GSM6997546","CBD-THC","9+6","8-10PCW","no","CBD-THC","10-12GW","EH4080"
"testis_10-12GW_CBD-THC_EH4105","GSM6997547","CBD-THC","9+6","8-10PCW","no","CBD-THC","10-12GW","EH4105"
"testis_12-14GW_CBD-THC_EH4114","GSM6997548","CBD-THC","10+1","10-12PCW","no","CBD-THC","12-14GW","EH4114"
"testis_12-14GW_CBD-THC_EH3265","GSM6997549","CBD-THC","11+0","10-12PCW","no","CBD-THC","12-14GW","EH3265"
"testis_12-14GW_CBD-THC_EH4109","GSM6997550","CBD-THC","11+2","10-12PCW","no","CBD-THC","12-14GW","EH4109"
"testis_12-14GW_CBD-THC_EH4168","GSM6997551","CBD-THC","11+2","10-12PCW","no","CBD-THC","12-14GW","EH4168"
"testis_12-14GW_CBD-THC_EH3351","GSM6997552","CBD-THC","11+3","10-12PCW","no","CBD-THC","12-14GW","EH3351"
"testis_12-14GW_CBD-THC_EH4075","GSM6997553","CBD-THC","11+4","10-12PCW","no","CBD-THC","12-14GW","EH4075"
"testis_12-14GW_CBD-THC_EH3234","GSM6997554","CBD-THC","11+5","10-12PCW","no","CBD-THC","12-14GW","EH3234"
"testis_12-14GW_CBD-THC_EH4115","GSM6997555","CBD-THC","11+5","10-12PCW","no","CBD-THC","12-14GW","EH4115"
"testis_12-14GW_CBD-THC_EH3412","GSM6997556","CBD-THC","12+1","10-12PCW","no","CBD-THC","12-14GW","EH3412"
"testis_12-14GW_CBD-THC_EH3345","GSM6997557","CBD-THC","12+2","10-12PCW","no","CBD-THC","12-14GW","EH3345"
